id;nom;code_pays;code_appel;devise;langue_principale;fuseau_horaire;capitale;population;superficie;pib;description;actif;created_at;updated_at
1c4a21ae-2cda-4241-8144-720208cba8f0;Togo;TGO;+228;XOF;Français;Africa/Lome;Lomé;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
b740be50-6cd5-45ad-ba60-bed752c2949d;Gabon;GAB;+241;XAF;Français;Africa/Libreville;Libreville;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
6ac73353-fcbf-4825-b17e-45f56b361750;Congo;COG;+242;XAF;Français;Africa/Brazzaville;Brazzaville;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
2e561fec-130a-44b1-ab7e-4bd5289eb9b5;République Centrafricaine;CAF;+236;XAF;Français;Africa/Bangui;Bangui;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
d4e5ee4f-f0f7-4207-bff0-08ba3a595aa9;Comores;COM;+269;KMF;Français;Indian/Comoro;Moroni;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
c77b465f-7286-48f7-b7c5-b02f22f15268;Madagascar;MDG;+261;MGA;Français;Indian/Antananarivo;Antananarivo;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
b2dfe444-edd1-41e1-b96e-c27269cc6545;Maurice;MUS;+230;MUR;Français;Indian/Mauritius;Port Louis;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
fce0fc9e-bf73-4fb4-a029-ac193aa62864;Seychelles;SYC;+248;SCR;Français;Indian/Mahe;Victoria;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
8cc65a7a-98e7-4a31-95bf-9036969c3ffc;Djibouti;DJI;+253;DJF;Français;Africa/Djibouti;Djibouti;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
4edd615a-d349-48f0-81fd-f6c1ef3ae9ee;Allemagne;DEU;+49;EUR;Allemand;Europe/Berlin;Berlin;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
e41f3000-83bb-44c8-b333-dc7dadf7335e;Belgique;BEL;+32;EUR;Français;Europe/Brussels;Bruxelles;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
36c2e2f9-94bd-43f4-9dfd-0f97e0aa619f;Suisse;CHE;+41;CHF;Français;Europe/Zurich;Berne;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
8602cf7d-15f8-4dfc-9f57-0b27913d93d2;Luxembourg;LUX;+352;EUR;Français;Europe/Luxembourg;Luxembourg;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
bb8c07da-0e8e-4461-a1ba-ff639005d2d4;Canada;CAN;+1;CAD;Français;America/Toronto;Ottawa;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
2f3ca548-a0d9-46ab-b0af-41146ddca6ec;États-Unis;USA;+1;USD;Anglais;America/New_York;Washington;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
f2370d09-7148-4ea4-b780-48ebbeca7ab0;Royaume-Uni;GBR;+44;GBP;Anglais;Europe/London;Londres;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
345dc5f6-c8f2-4f0b-9aea-d10d1820d610;Espagne;ESP;+34;EUR;Espagnol;Europe/Madrid;Madrid;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
8505bb2d-269f-4503-86df-b200c2846ce9;Italie;ITA;+39;EUR;Italien;Europe/Rome;Rome;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
3edfc94f-6d4b-486c-98ea-acd0aea8f908;Pays-Bas;NLD;+31;EUR;Néerlandais;Europe/Amsterdam;Amsterdam;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
