Mission;Client;Business Unit;Division;Description;Type Mission;Responsable;Manager;Associé
"Participation au séminaire de la loi de finances 2025";"BRIGHT POINT LOGISTICS SARL";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à recherche de financement";"CAMEROON INTERNATIONALE TRADE SARL";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance à recherche de financement";"PREVIOUS ENGAGEMENT";" ";" ";" "
"Assistance à recherche de financement";"CAMEROON INTERNATIONALE TRADE SARL";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance à recherche de financement";"PREVIOUS ENGAGEMENT";"Jean  Youmbi";"Jean  Youmbi";"Leopold  Tchako"
"Assistance à recherche de financement";"CAMFISH";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance à recherche de financement";"PREVIOUS ENGAGEMENT";"Salomée Ngomsu";"Jean  Youmbi";"Leopold  Tchako"
"Assistance au développement";"CAMLAIT";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance au développement";"PREVIOUS ENGAGEMENT";"Jean  Youmbi";"Jean  Youmbi";"Leopold  Tchako"
"Assistance juridique";"CECEC SA";"EB-TAX&LAW";"Global Legal";"Mission migrée (FY25) - Assistance juridique";"PREVIOUS ENGAGEMENT";"Grégoire Ododi";"Alvine Oum";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"CECEC SA";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à contrôle douanier";"CFAO RETAIL CAMEROUN";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance à contrôle douanier";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Assistance à contrôle et contentieux douaniers";"CFAO RETAIL CAMEROUN";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance à contrôle et contentieux douaniers";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Assistance à contrôle et contentieux fiscal";"CFAO RETAIL CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à contrôle et contentieux douaniers";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"CFAO RETAIL CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";" "
"Assistance à obtention des facilités douanières dans le cadre des APEC";"CHINA HARBOUR ENGINEERING COMPANY LTD";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance à obtention des facilités douanières dans le cadre des APEC";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Participation au séminaire de la loi de finances 2025";"COMPAGNY OF TRANSPORT AND FAIR TRADE";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à insertion dans la liste des entreprises habilitées à opérer la retenue à la source de la TVA et de l’AIR au titre de l’exercice 2025";"DHL EXPRESS";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à contentieux fiscal des exercices 2021 & 2022";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à VGC des exercices 2020 2021 et 2022";"DHL EXPRESS";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à VGC des exercices 2021 et 2022";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à contentieux fiscal des exercices 2021 & 2022";"DHL GLOBAL FORWARDING CAMEROUN PLC";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à VGC des exercices 2020 2021 et 2022";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à contrôle sur pièces des exercices 2019, 2020 et 2021";"DHL GLOBAL FORWARDING CAMEROUN PLC";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à contrôle sur pièces des exercices 2019, 2020 et 2021";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";" "
"Assistance à insertion dans la liste des entreprises habilitées à opérer la retenue à la source de la TVA et de l’AIR au titre de l’exercice 2025";"DHL GLOBAL FORWARDING CAMEROUN PLC";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à insertion dans la liste des entreprises habilitées à opérer la retenue à la source de la TVA et de lAIR au titre de lexercice 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à VGC des exercices 2021 et 2022";"DHL GLOBAL FORWARDING CAMEROUN PLC";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à VGC des exercices 2021 et 2022";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";" "
"DEDOUANEMENT TOYOTA HIGHLANDER 2020";"DJILO NGASSOP IRENE";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT TOYOTA HIGHLANDER 2020";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"Revue fiscale des opérations des exercices non prescrits (2021_2024)";"EMRALD SECURITIES SERVICES BOURSE SA";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Revue fiscale des opérations des exercices non prescrits (2021_2024)";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"ENEO CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"ENGINE OIL COMPANY SA";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance fiscale et douanière";"EVERWELL  CAMEROON CABLES AND ENGINEERING S.A";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25)- Assistance fiscale et douanière";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"EVERWELL  CAMEROON CABLES AND ENGINEERING S.A";"EVERWELL  CAMEROON CABLES AND ENGINEERING S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance fiscale et douanière";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Samson Bilangna"
"Participation au séminaire de la loi de finances 2025";"EVERWELL  CAMEROON CABLES AND ENGINEERING S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";" N/A";" ";"Emile Bitoungui"
"Gestion de la paie des expatriés";"GUINNESS CAMEROUN S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Gestion de la paie des expatriés";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Admin Ebvision"
"Participation au séminaire de la loi de finances 2025";"HEVEA CAMEROUN S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"DEDOUANEMENT D'1 CAMION PLATEAU MERCEDES BENZ AVEC GRUE ANNEE: 1977 PAR UNE MISE A LA CONSOMMATION";"IMPLANTS & SERVICES SARL";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT D'1 CAMION PLATEAU MERCEDES BENZ AVEC GRUE ANNEE: 1977 PAR UNE MISE A LA CONSOMMATION";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"Assistance à recherche de financement";"J2N CONSEIL SARL";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance à recherche de financement";"PREVIOUS ENGAGEMENT";"Salomée Ngomsu";"Jean  Youmbi";"Leopold  Tchako"
"ASSISTANCE COMPTABLE";"KAKOTEL S.A";"EB - AUDIT";"";"Mission migrée (FY25) - ASSISTANCE COMPTABLE";"PREVIOUS ENGAGEMENT";"Alyssa Molom";"Alyssa Molom";"Brian Metuge"
"Assistance à l'optimisation de la paie";"KIKOT-MBEBE HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à l'optimisation de la paie";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à obtention Carte de Séjour expatrié";"KIKOT-MBEBE HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à obtention Carte de Séjour expatrié";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance fiscale et sociale permanente";"KIKOT-MBEBE HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance fiscale et sociale permanente";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance juridique et fiscale permanente complémentaire";"KIKOT-MBEBE HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance juridique et fiscale permanente complémentaire";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"KIKOT-MBEBE HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance for Post Clearance Control";"KRIBI POWER DEVELOPMENT COMPANY";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance for Post Clearance Control";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Assistance à contrôle CNPS de l'exercice 2023";"LA REGIONALE BANK S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à contrôle CNPS de l'exercice 2023";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à VGC 2020 à 2022";"LA REGIONALE BANK S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à VGC 2020 à 2022";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à VGC des exercices 2021 et 2022";"LA REGIONALE BANK S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à VGC des exercices 2021 et 2022";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance fiscale, juridique et sociale permanente";"LA REGIONALE BANK S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance fiscale, juridique et sociale permanente";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance douanière permanente";"LONGSTAR EQUIPMENT CAMEROUN";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance douanière permanente";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Assistance à contrôle sur pièces des exercices 2019, 2020 et 2021";"LOXEA S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à contrôle sur pièces des exercices 2019, 2020 et 2021";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à VGC des exercices 2020, 2021 et 2022";"LOXEA S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à VGC des exercices 2020, 2021 et 2022";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"LOXEA S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"MA�TRE CHEMOU";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"APUREMENT ATN PAR MACATN";"MEDECINS SANS FRONTIERES";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - APUREMENT ATN PAR MACATN";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"Assistance au montage et à la revue de la DSF de l'exercice 2024";"MEDECINS SANS FRONTIERES";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance au montage et à la revue de la DSF de l'exercice 2024";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance juridique et fiscale permanente";"MEDECINS SANS FRONTIERES";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance juridique et fiscale permanente";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"DEDOUANEMENT D'UN CONTENEUR FRIGORIFIQUE P/C MSF";"MEDECINS SANS FRONTIERES";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT D'UN CONTENEUR FRIGORIFIQUE P/C MSF";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"DEDOUANEMENT DE DEUX CONTENEUR FRIGORIFIQUE P/C MSF";"MEDECINS SANS FRONTIERES";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT DE DEUX CONTENEUR FRIGORIFIQUE P/C MSF";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"DEDOUANEMENT DE TROIS CONTENEUR FRIGORIFIQUE P/C MSF";"MEDECINS SANS FRONTIERES";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT DE TROIS CONTENEUR FRIGORIFIQUE P/C MSF";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"DSF 2023";"MEDECINS SANS FRONTIERES";"EB - AUDIT";"";"Mission migrée (FY25) - DSF 2023";"PREVIOUS ENGAGEMENT";"Cyrille Djiki";"Cyrille Djiki";"Brian Metuge"
"Participation au séminaire de la loi de finances 2025";"MEDECINS SANS FRONTIERES";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance juridique et fiscale permanente";"MEN GROUP";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance juridique et fiscale permanente";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Finances - Assistance à recherche de financement";"MERMO OIL";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance à recherche de financement";"PREVIOUS ENGAGEMENT";"Salomée Ngomsu";"Jean  Youmbi";"Leopold  Tchako"
"Assistance à déclaration préremplie de l’impôt sur les Sociétés et l’Impôt sur le Revenu des Personnes Physiques";"MONSIEUR BAHA Robert";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à déclaration préremplie de limpôt sur les Sociétés et lImpôt sur le Revenu des Personnes Physiques";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"ASSISTANCE COMPTABLE";"Mutuelles des inspecteur et officiers des Douanes du Cameroun";"EB - AUDIT";"";"Mission migrée (FY25) - ASSISTANCE COMPTABLE";"PREVIOUS ENGAGEMENT";"Alyssa Molom";"Alyssa Molom";"Brian Metuge"
"Assistance à évaluation de la dépense fiscale de l'exercice 2024";"NACHTIGAL HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à évaluation de la dépense fiscale de l'exercice 2024";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à l'évaluation de la dépense fiscale de la société NHPC au titre de l'exercice 2023";"NACHTIGAL HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à l'évaluation de la dépense fiscale de la société NHPC au titre de l'exercice 2023";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";" "
"Participation au séminaire de la loi de finances 2025";"NACHTIGAL HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Veille fiscale permanente et audit fiscal trimestriel";"NACHTIGAL HYDRO POWER COMPANY";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Veille fiscale permanente et audit fiscal trimestriel";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"DEDOUANEMENT D'1 VEHICULE TIGGO 9 DANS TC 20'";"NGOLLE 4 ISSAC RICHARD";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT D'1 VEHICULE TIGGO 9 DANS TC 20'";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"DEDOUANEMENT D'1 D7H ANNEE: 1986 + 1 PORTE-ENGINSANNEE: 1974 + 1 TRACTEUR ROUTIER ANNEE: 2007";"NORBERT GWEM";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT D'1 D7H ANNEE: 1986 + 1 PORTE-ENGINSANNEE: 1974 + 1 TRACTEUR ROUTIER ANNEE: 2007";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"Participation au séminaire de la loi de finances 2025";"OCEAN PETROLEUM SARL";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à obtention d'une remise totale ou d'une modération des pénalités et intérêts de retard";"PORT AUTONOME DE DOUALA";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à obtention d'une remise totale ou d'une modération des pénalités et intérêts de retard";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"DEDOUANEMENT D'UN CONTENEUR 20' DE CARREAUX";"SAMSON BILANGNA";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT D'UN CONTENEUR 20' DE CARREAUX";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"Assistance à controle et contentieux douanier";"SHOW OFF ASSURANCE";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance à controle et contentieux douanier";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"DEDOUANEMENT UN CONTENEUR DISANT CONTENIR RECYCLED-CLIP 12MM";"SIGMA INC LTD";"EB-DOUANE";"EB Service";"Mission migr�e (FY25) - DEDOUANEMENT UN CONTENEUR DISANT CONTENIR RECYCLED-STRETCH FILM";"PREVIOUS ENGAGEMENT";" ";" ";"Franck Wafeu"
"Finances - Assistance du dossier API";"SITRAB-CAM";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance du dossier API";"PREVIOUS ENGAGEMENT";"Salomée Ngomsu";"Jean  Youmbi";"Leopold  Tchako"
"Assistance à recherche de financement";"Societ� d'Expliotation Industrielle Agricole";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance à recherche de financement";"PREVIOUS ENGAGEMENT";"Salomée Ngomsu";"Jean  Youmbi";"Leopold  Tchako"
"Assistance à obtention des visas de contrats de travail des expatriés";"SOCIETE ANONYME DES BOISSONS DU CAMEROUN";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à obtention des visas de contrats de travail des expatriés";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
