RAISON_SOCIALE;SIGLE;NIU;ACTIVITE_PRINCIPALE;VENTE_BOISSON;REGIME;BOITE_POSTALE;TELEPHONE;FORME_JURIDIQUE;CRI;CENTRE_DE_RATTACHEMENT;REGION_ADMINISTRATIVE;DEPARTEMENT;VILLE;COMMUNE;QUARTIER;LIEUX_DIT;ETATNIU;IDCLASSE_ACTIVITE
Banque de Développement des Etats de l'Afrique Centrale;BDEAC;M127500009143Z;Banque;NON;HRI;35 289;677 94 32 77             679 53 17 17             222 22 39 03;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre Ville;A côté de l'immeuble Capitole;Bon NIU;036001
Banque des Etats de l Afrique Centrale/Direction Nationale;BEAC/DN;M117200003548N;Emission dela Monnaie;NON;HRI;35 289;694077572;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;A côté de l'immeuble étoile;Bon NIU;036001
Bourse de sous traitance et de partenariat du Cameroun;BSTP;M051300046771K;Accompagnement des entreprises en sous traitance;NON;HRI;12899;243663613;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;DOUALA 1;AKWA;Ancienne SOCAR;Bon NIU;038006
Bureau Central des Recensements et des Etudes des Populations;BUCREP;M109900012452E;Etudes démographiques;NON;HRI;12 932;77 75 96 25;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Omnisport;Derrière CRIC1;Bon NIU;038003
Bureau de Mise à Niveau des Entreprises;BMN;M121100048917J;CONSEIL ET FINANCEMENT;NON;HRI;6709;650634014;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Route collège Matamfem;Bon NIU;038006
Bureau National de l Etat Civil;BUNEC;M021312437278G;Acte d etat civil;NON;HRI;6170;222226351;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;NLONGKAK;HYPPODROME;Bon NIU;039001
Cadre d'ppui et de Promotion de l'Artisanat Minier;CAPAM;M070300039458P;Encadrement de l'artisanat minier;NON;HRI;15 620;77 21 89 53           75 26 15 67           99 91 81 98;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Ngousso;Petrolex;Bon NIU;006003
Caisse Autonome d’Amortissement;CAA;M089500009102A;Gestion de la dette interne;NON;HRI;7 167;22 22 22 26                          22 22 01 87             94 11 11 29;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Poste centrale;15 et 16 étage immeuble SNI;Bon NIU;039001
Caisse de Stabilisation des Prix des Hydrocarbures;CSPH;M057400000455R;Régulation des prix des hydrocarbures;NON;HRI;501;99 36 66 06;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Warda;A côté Sapeurs Pompiers;Bon NIU;039001
Caisse Nationale de la Prévoyance Sociale;CNPS;M076700000481E;Action sociale;NON;HRI;441;222224601;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Hôtel de ville;Bon NIU;041002
Cameroon Civil Aviation Autority;CCAA;M099900010084W;Régulation de l'aviation civile;NON;HRI;6 998;22 22 01 87                77 82 47 08;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 4;Ndamvout;Base aérienne;Bon NIU;039001
Cameroon Coalition Against Malaria;CCAM;M090600022838S;Lutte contre le Paludisme;NON;HRI;4256;22 20 83 22;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;bastos;Eglise Orthodoxe;Bon NIU;041001
Cameroon Digit TV project;CAM-DTV;M081200047923M;Administration Publique;NON;HRI;111;99818926;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE;Centre ville;Premier Ministere;Bon NIU;039001
Cameroon Radio Television;CRTV;M128700000452Q;Diffusion Radio et Télévision;NON;HRI;1 634;22 21 40 88 , 6 99 96 99 75;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Mballa 2;Hôpital Jamot;Bon NIU;035003
CELLULE INVEST'ELEC;CIEL;M031612548764G;Electrification;NON;HRI;30704;694 18 78 55;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;BASTOS;A côté Ambassade de la Suisse;Bon NIU;029001
Centrale Nationale d’Approvisionnement en Médicaments et Consommables Médicaux Essentiels;CENAME;M069600009615N;Approvisionnement en médicaments;NON;HRI;2 170;77 92 82 97               22 23 29 20;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hygiène Mobile;Bon NIU;032014
Centre Culturel de Yaoundé;CCY;M071112103020P;PROMOTION DES BIENS ET SERVICES;NON;RSI PM;6170;675 783 394;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Face Calafatas;Bon NIU;042002
Centre d'Analyse et de Recherche sur les politiques Economiques et Sociales du Cameroun;Camer CAP PARC;M031300047028L;Renforcement des Capacités Nationales;NON;HRI;6175;22 22 58 58               22 23 34 82;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre Commercial;4 etage immeuble CNR;Bon NIU;039001
Centre des Urgences de Yaoundé;CURY;M071412268170Y;Urgences médicales;NON;HRI;87;699 28 87 68;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;hôpital central;Bon NIU;041001
Centre Hospitalier d’Essos;CHE;M017800015681D;Soins médicaux;NON;HRI;5 777;99 15 31 45                            22 23 60 34;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Essos;Hôpital de la CNPS;Bon NIU;041001
Centre Hospitalier de Recherche et d’Application en Chirurgie Endoscopique et de Reproduction Humaine;CHRACERH;M101100045809R;Recherche et Application en Chirurgie Endoscopique et en Reproduction Humaine;NON;HRI;5 154;22 10 21 88                       99 77 50 60                76 17 84 56;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Ngousso;hôpital Général;Bon NIU;041001
Centre Hospitalier Universitaire de Yaoundé;CHU;M067800010309G;Soins médicaux;NON;HRI;12 092;77 77 99 69               33 31 04 40;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Melen;Total Melen;Bon NIU;041001
Centre International de Référence Chantal Biya;CIRCB;M020600021949Q;Recherche sur le SIDA;NON;HRI;3 077;77 92 82 97               22 84 88 86                             22 31 54 50;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Melen;Total Melen;Bon NIU;041001
Centre National d’Etudes et d’Expérimentation du Machinisme Agricole;CENEEMA;M017400000536R;Recherche agricole;NON;HRI;1 040;22 22 33 54;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;Brigade de Gendarmerie;Bon NIU;038006
Centre National de l'Education;CNE;M107412438728B;Education;NON;HRI;1 721;78 78 43 39;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Ngoa-Ekelle;Après Ecole Normale Supérieure;Bon NIU;040000
Centre National de Réhabilitation des Personnes Handicapées Cardinal Paul Emile Léger;CNRPH;M030900029678R;Soins médicaux;NON;HRI;1586;99 84 55 04;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Etoug-Ebe;Centre des Handicapés;Bon NIU;041001
Centre Pasteur du Cameroun;CPC;M078000001849L;Examens de laboratoire,Vaccination et Vente de sérums;NON;HRI;1 274;22 23 10 15                99 95 63 55             77 47 37 67              99 82 64 33;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;A côté Fondation Chantal Biya;Bon NIU;041001
Centre pour le développement de l'entreprise;CDE;M070600038963C;Aide au Développement;NON;HRI;6709;22 23 15 00;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;CENTRE VILLE;FACE MINMAP;Bon NIU;041002
Centre Régional de Promotion du Livre en Afrique au Sud du Sahara;CREPLA;M107712469469K;promotion et Exploitation du Livre en afrique;NON;HRI;1 646;22 20 15 08            22 22 44 27            77 46 60 43;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig-Essono;Face Gare Ferroviaire;Bon NIU;040000
Centrer for International Foresty Research;CIFOR;M038500025585C;Recherche forestière;NON;HRI;2 008;22 23 74 34            22 23 75 22;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;Vers la Mairie Ydé 7;Bon NIU;003003
Chambre d’Agriculture de l’Elevage, des Pêches et des Forêts;CAPEF;M127800010579C;Chambre Consulaire;NON;HRI;287;22 22 74 49                  72 17 37 38;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Face CDI 1;Bon NIU;039001
Christian Blind Mission;CBM Cameroon;M051312263620X;Aide au pers vivant avec un Handicap;NON;HRI;4018;675  52 07 14            676 22 29 67;op;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 4;Mimboman;Route avant Sapeur Mimbomam;Bon NIU;041002
Comité de Compétitivité et de Suivi Secrétariat Technique;COCOM;M129712146350X;Etudes Economique;NON;HRI;14417;22 23 31 18                    77 89 40 02;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;4 étage immeuble CNR;Bon NIU;038006
Comite de Gestion FAO PAM;CG FAO PAM;M118612423524G;Agriculture;NON;HRI;1639;53 20 09 65;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Face Radio;Bon NIU;001011
Comité de Suivi du Projet Hydroélectrique MEMVE’ELE;CAPM;M010800047169Z;Suivi de la constrution du barrage Hydroélectrique MEMVE’ELE;NON;HRI;6883;99 57 85 35;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Avant éntrée ELECAM;Bon NIU;039001
Comite National de Developpement des Technologies;CNDT;M047800045011L;Transfert et Developpement des Technologies;NON;HRI;145;222 22 25 09;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Ngoa-Ekelle;Après Ecole Normale Supérieure;Bon NIU;038001
Comité National de Lutte contre le SIDA;CNLS;M129800015096L;Lutte contre le SIDA;NON;HRI;1459;99 43 85 79                75 25 47 95                   22 22 57 58;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Devant immeuble Croix  Rouge;Bon NIU;041001
Comité Technique de Suivi des Programmes Economiques;CTS;M089712421196Z;Suivi des programmes économiques;NON;HRI;13127;22 23 52 44                          77 63 57 62;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;CAPITOLE;Bon NIU;039001
Commission des Forets d Afrique Centrale;COMIFAC;M090300015722W;Protection de la flore et des Ecosystemes;NON;HRI;20818;222212511;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Nouvelle route Bastos;Bon NIU;003003
Commission Nationale Anti Corruption;CONAC;M030600030218P;Lutte contre la corruption;NON;HRI;33200;22 65 68 92                          99 95 70 22;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Tsinga;Palais de Congrès;Bon NIU;039001
Commission Nationale des Droits de l’Homme et des Libertés;CNDHL;M070400047110Z;Promotion des droits de l'homme et des libertés;NON;HRI;20317;22 22 61 17;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;MINATD;Bon NIU;039001
Commission Technique de Privatisation et de Liquidation;CTPL;M019712480327S;Privatisation et Liquidation;NON;HRI;7044;22 23 51 08                      99 19 48 26;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Poste centrale;6 étage immeuble CNR;Bon NIU;039001
Commission Technique de Réhabilitation des Entreprises Publiques et Parapubliques;CTR;M089712497731M;Réhabilitation des Entreprises Publiques et Parapubliques;NON;HRI;13 854;22 22 38 16                 22 23 21 43               99 19 48 26              22 22 38 50;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;7 étage immeuble CNR;Bon NIU;039001
Communauté Urbaine de Yaoundé;CUY;M098500015675B;Hygiène, salubrité, sécurité, bien être des populations;NON;HRI;12634;94 18 75 19                 74 91 27 97;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Hippodrome;Hôtel de ville;Bon NIU;039001
Commune et ville unies du cameroun;CVUC;M010400037954R;CTD;NON;HRI;12634;96205074;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;BASTOS;A côté Ambassade de Chine;Bon NIU;039001
Commune Urbaine d'Arrondissement de Yaoundé 1er;CUA Yaoundé 1er;M098700017338W;Hygiène, salubrité, sécurité, bien être des populations;NON;HRI;4472;77 63 44 60             77 72 62 43;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Rue CEPER;Bon NIU;039001
Commune Urbaine d'Arrondissement de Yaoundé 2e;CUA Yaoundé 2;M098700047277T;Hygiène, salubrité, sécurité, bien être des populations;NON;HRI;13 854;99 10 99 84;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Tsinga;Route Palais de Congrès;Bon NIU;039001
Commune Urbaine d'Arrondissement de Yaoundé 3e;CUA Yaoundé 3;M098700016742N;Hygiène, salubrité, sécurité, bien être des populations;NON;HRI;7083;99 59 09 85;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Efoulan;route avant le Palais Royal Charles Atangana;Bon NIU;039001
Commune Urbaine d'Arrondissement de Yaoundé 4e;CUA Yaoundé 4;M098712197632G;Hygiène, salubrité, sécurité, bien être des populations;NON;HRI;14783;77 60 56 53;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 4;Ekounou;Après LABOGENIE;Bon NIU;039001
Commune Urbaine d'Arrondissement de Yaoundé 5e;CUA Yaoundé 5;M098712480335T;Hygiène, salubrité, sécurité, bien être des populations;NON;HRI;20280;99 73 27 02;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Essos;vers Hôpital de la CNPS;Bon NIU;039001
Commune Urbaine d'Arrondissement de Yaoundé 6e;CUA Yaoundé 6;M098712480341R;Hygiène, salubrité, sécurité, bien être des populations;NON;HRI;3 759;22 31 17 99                  99 83 07 22;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Biyem-Assi;Rond point Express;Bon NIU;039001
Commune Urbaine d'Arrondissement de Yaoundé 7e;CUA Yaoundé 7;M040700041231G;Hygiène, salubrité, sécurité, bien être des populations;NON;HRI;12 634;99 96 23 78;CTD;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;Carrefour Mairie Ydé 7;Bon NIU;039001
Confederation Africaine de Football;CAF;M019700014807B;Gestion de Football;NON;HRI;7380;22 22 27 67;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Omnisport;Derriére AGROPOLES;Bon NIU;042002
Conseil d'Appui à la Réalisation des Contrats;CARPA;M010800026598J;Conseil;NON;HRI;33745;22 23 92 92;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Hippodrome;Face OAPI;Bon NIU;038006
Conseil Economique et Social;CES;M118600021460P;CONSEIL GOUVERNEMENT;NON;HRI;6709;77 39 56 72               22 21 26 71;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Tsinga;Palais de Congrès;Bon NIU;038006
Conseil International des Radios Tele d'Expression francaise;CIRTEF;M029900010022L;Conseil;NON;HRI;487;22 21 79 76;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig Essono;Vers la Total Elig Essono;Bon NIU;038006
Conseil National de la Communication;CNC;M069100016105C;Régulation de la communication des médias;NON;HRI;12535;22 10 77 95                79 42 76 97            22 21 03 09;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Vers ELECAM;Bon NIU;039001
Conseil National de la Santé Publique;CNSP;M080012089188R;Santé Publique;NON;HRI;1459;22 23 44 17;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Mballa 2;Hôpital Jamot;Bon NIU;041001
Cooperative Surete Nationale;CSN;M066700043736L;Action sociale;NON;HRI;1603;242 66 20 65;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Ecole de Police;A côté hôpital de la Police;Bon NIU;041002
Couverture Sanitaire Nationale;CSN;M041312089187F;Santé Publique;NON;HRI;1459;22 23 44 17;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;MINSANTE;Avant Hôpital Jamot;Bon NIU;041001
Croix Rouge Camerounaise;CRC;M016300013424R;Soins de Sante;NON;HRI;631;242 22 41 77;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Derriere Hopital central;Bon NIU;041001
CRTV Marketing and Communication Agency;CMCA;M060100012609X;Publicité des Supports CRTV et Marketing;NON;HRI;15 331;22 20 80 37               99 90 67 92            70 72 46 16            22 14 60 69;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Maison de la Radio;Bon NIU;035006
Ecole Nationale d’Administration et de Magistrature;ENAM;M066300004552Y;Enseignement et formation;NON;HRI;7171;99 96 13 15                 76 11 38 76                 77 74 29 93;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Centre administratif;Residence PM;Bon NIU;040000
Ecole Nationale Supérieure de Police et des CIAP;ENSP;M040300021922L;Enseignement et formation;NON;HRI;148;22 00 73 87             22 20 11 88               96 44 01 55;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Ekoudou;Ecole de Police;Bon NIU;040000
Ecole Nationale Supérieure des Postes et Télécommunications;ENSPT;M039200047278M;Enseignement et formation;NON;HRI;187;22 23 73 12                 22 22 37 04                   99 09 10 24                      74 84 74;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Ngoa-Ekelle;Ecole des Postes;Bon NIU;040000
Ecole Nationale Supérieure des Travaux Publics;ENSTP;M108200010200A;Enseignement et formation;NON;HRI;510;22 23 09 44;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Elig-Effa;Avant Chapelle Catholique Elig Effa;Bon NIU;040000
Ecole Pratique d agriculture de BINGUELA;EPAB;M010700035263G;Enseignement et formation;NON;HRI;99;675 84 40 72;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;Mefou et Akono;Ngoumou;Ngoumou;axe lourd;4 km avant Centre ville Ngoumou;Bon NIU;040000
