"#","Nom","Sigle","Secteur","Pays","Administrateur","Actions"
"67","LABOREX CAMEROUN SA","LABOREX","Infrastructure,  Healthcare","Cameroun","Sébastien ROUX",""
"68","ALIOS FINANCE SA","ALIOS","Bank","Cameroun","Georges James NDZUTUE FOTSO",""
"69","COMETAL","COMETAL","Industrial manufacturing","Cameroun","Stanislas KOUALA",""
"70","SOLEVO CAMEROUN","SOLEVO","Other industry","Cameroun","Martial MEKONGO",""
"71","MAERSK","MAERSK","Miscellaneous","Cameroun","Michel KONAN KOFFI",""
"72","SIC CACAOS","SIC CACAOS","Industrial manufacturing","Cameroun","PIERLUIGI PASSERA",""
"73","COLGATE PALMOLIVE CAMEROUN SA","COLGATE","Miscellaneous","Cameroun","Richard FOWANG",""
"74","CHOCOCAM","CHOCOCAM","Industrial manufacturing","Cameroun","NDIAYE MOUHAMADOU",""
"75","BVS PRODUCTION CAMEROUN SA","BVS","Miscellaneous","Cameroun","Stéphane SOUMAHORO",""
"76","TRADEX CAMEROUN SA","TRADEX","Energy and Oil & Gas","Cameroun","Simon PALEY",""
"77","UBA CAMEROON","UBA","Bank","Cameroun","Jude ANELE",""
"78","NEXTTEL","NEXTTEL","Technology, media & telecommunications","Cameroun","Benoît YAOUSSOU",""
"79","NEPTUNE OIL SA","NEPTUNE","Energy and Oil & Gas","Cameroun","Antoine NDZENGUE",""
"80","GLOBELEQ","GLOBELEQ","ENR - Power & Utilities","Cameroun","Frédéric Didier MVONDO",""
"81","ACCESS BANK PLC","ACCESS","Bank","Cameroun","Roosevelt OGBONNA",""
"82","COMMERCIAL BANK OF CAMEROUN","CBC","Bank","Cameroun","",""
"83","ECOBANK","ECOBANK","Bank","Cameroun","",""
"84","CORLAY CAMEROUN","CORLAY","Industrial manufacturing","Cameroun","",""
"85","DAMCO CAMEROUN","DAMCO","Transport & leisure","Cameroun","",""
"86","AUTO 22 INDUSTRY","AUTO 22","Industrial manufacturing","Cameroun","JEAN BERNARD GATEU FOM",""
"87","AUTO 22 INDUSTRY","AUTO 22","Industrial manufacturing","Cameroun","JEAN BERNARD GATEU FOM",""
"88","AUTO 22 INDUSTRY","AUTO 22","Industrial manufacturing","Cameroun","JEAN BERNARD GATEU FOM",""
"89","AUTO 22 INDUSTRY","AUTO 22","Industrial manufacturing","Cameroun","JEAN BERNARD GATEU FOM",""
"90","CHANAS ASSURANCES S.A","CHANAS","Insurance","Cameroun","LEONCE AUGOU",""
"91","KALFRELEC SARL","KALFRELEC","Other industry","Cameroun","ALAIN KENTSA",""
"92","PERENCO OIL &GAS","PERENCO","Energy and Oil & Gas","Cameroun","ARMEL SIMONDIN",""
"93","ICRAFON","ICRAFON","Other industry","Cameroun","PATRICE PORTE",""
"94","SMALTO","SMALTO","Industrial manufacturing","Cameroun","RAFIK .R",""
"95","NOVA PLAST SARL","NOVA PLAST","Other industry","Cameroun","ALEXIS TSOBZE",""
"96","SMT CAMEROUN S.A","SMT","Industrial manufacturing","Cameroun","JEROME FRANCOIS",""
"97","ASQUINI ENCORAD","ASQUINI","Other industry","Cameroun","MICHEL NGAPANOUN",""
"98","OK PLASTCAM SARL","OK PLAST","Other industry","Cameroun","SAMI BAKER",""
"99","SIKA CAMEROON","SIKA","Other industry","Cameroun","JOEL SOULAT",""
"100","SASEL S.A","SASEL","Other industry","Cameroun","PIERRE ANDRE CHASTEL",""
"101","CIMAF","CIMAF","Other industry","Cameroun","HAMMI ISMAAYL",""
"102","CIMAF","CIMAF","Other industry","Cameroun","HAMMI ISMAAYL",""
"103","SOURCE DU PAYS","SOURCE","Climate change/Water","Cameroun","EL SAHELY NESSRALLAH",""
"104","FERMENCAM","FERMENCAM","Other industry","Cameroun","PIERRE TCHINDA",""
"105","FME-GAZ les gaz industriels du Cameroun","FME-GAZ","Energy and Oil & Gas","Cameroun","VICTOR TIENCHEU",""
"106","SCTM","SCTM","Energy and Oil & Gas","Cameroun","LUDOVIC YAHNE SIELIENOU",""
"107","EDC ASSET MANAGEMENT","EDC","Miscellaneous","Cameroun","NOELLE KOUO NGAMBY",""
"108","ALUBASSA","ALUBASSA","Miscellaneous","Cameroun","",""
"109","ALIOS FINANCE","ALIOS","Miscellaneous","Cameroun","HICHAM DAOUK",""
"110","BOUYGUES ENERGIES & SERVICES","BOUYGUES","Technology, media & telecommunications","Cameroun","PIERRE VANSTOFLEGATTE",""
"111","FINANCIA CAPITAL","FINANCIA","Miscellaneous","Cameroun","SERGE YANIC NANA",""
"112","PLASTICAM","PLASTICAM","Other industry","Cameroun","FOYOU MARIELLE",""
"113","SOCAFER","SOCAFER","Miscellaneous","Cameroun","TANKEU MAURICE",""
"114","UNALOR","UNALOR","Miscellaneous","Cameroun","MARIE LOUIS KONDECK",""
"115","IHS CAMEROUN SA","IHS","Miscellaneous","Cameroun","",""
"116","MOULIN COQ ROUGE","MOULIN COQ","Miscellaneous","Cameroun","",""
"117","HYSACAM","HYSACAM","Miscellaneous","Cameroun","",""
"118","LES GRANGS COMPLEXES D'AFRIQUE","LGCCA","Miscellaneous","Cameroun","",""
"119","INODA INDUSTRIES SARL","INODA","Miscellaneous","Cameroun","",""
"120","EURO COSMETICS","EURO","Miscellaneous","Cameroun","",""
"121","CAMRAIL","CAMRAIL","Miscellaneous","Cameroun","",""
"122","SOCIETE GENERAL CAMEROUN","SGC","Bank","Cameroun","",""
"123","ERICSON CAMEROUN","ERICSON","Miscellaneous","Cameroun","",""
"124","CAMEROON WATER UTILITIES CORPORATION","CAMWATER","Miscellaneous","Cameroun","",""
"125","Programme d'Appui à la reforme de l'éducation au Cameroun","PAREC","Project & NGO","Cameroun","Hadidjatou Iyawa Ousmanou",""
"126","SANLAM ASSURANCES","SANLAM","Insurance","Cameroun","",""
"127","SUNU ASSURANCES IARD","SUNU IARD","Insurance","Cameroun","",""
"128","SUNU ASSURANCES VIE","SUNU VIE","Insurance","Cameroun","",""
"129","CIMENCAM","CIMENCAM","Insurance","Cameroun","",""
"130","BATIMETAL","BATIMETAL","Miscellaneous","Cameroun","MFENJOU WILLIAM",""
"131","UBC","UBC","Miscellaneous","Cameroun","CHARLOTTE KOUECHEU",""
"132","Société D'Exploitation des Etablissements de Fombelle  (SEEF S.A.)","SEEF S.A.","FORESTIER","Cameroun","Pierre MANCEL",""
"133","BIA CAMEROUN","BIA","Miscellaneous","Cameroun","",""
"134","COLOR CERAMICA","COLOR","Other industry","Cameroun","",""
"135","BLESSING PETROLEUM","BLESSING","Energy and Oil & Gas","Cameroun","",""
"136","GRAPHIC SYSTEM","GRAPHIC","Miscellaneous","Cameroun","",""
"137","BANGE","","Bank","Cameroun","",""
"138","Krystal Palace","","Hôtellerie","Cameroun","FOYOU",""
"139","LES BATISSEURS REUNIS","BATISSEURS","Miscellaneous","Cameroun","",""
"140","CAMEROON UNITED FOREST","UNITED FOR","N/A","Cameroun","",""
"141","ORANGE MONEY CAMEROUN SA","ORANGE","Other Financial services","Cameroun","",""
"142","GAZ DU CAMEROUN","GAZ DU CAM","Miscellaneous","Cameroun","",""
"143","BERNABE CAMEROUN","BERNABE","Miscellaneous","Cameroun","",""
"144","BESIX CAMEROUN","BESIX","Miscellaneous","Cameroun","",""
"145","Tractafric motors SA","Tractafric","Miscellaneous","Cameroun","",""
"146","PRIMO SARL","PRIMO","Miscellaneous","Cameroun","",""
"147","Tropik Industries Cameroun","Tropik","Miscellaneous","Cameroun","",""
"148","SOCIETE MODERNE DU PNEUMATIQUE CAMEROUNAIS SMPC","SMPC","Miscellaneous","Cameroun","",""
"149","SEFECAM","SEFECAM","Miscellaneous","Cameroun","",""
"150","BIOPHARMA","BIOPHARMA","Miscellaneous","Cameroun","",""
"151","TELCAR COCOA LIMITED","TELCAR","Miscellaneous","Cameroun","",""
"152","NFC BANK","NFC BANK","Bank","Cameroun","",""
"153","TRANSMISSION MANUTENTION DU CAMEROUN TMC","TMC","Miscellaneous","Cameroun","",""
"154","SOREPCO","SOREPCO","Miscellaneous","Cameroun","",""
"155","SOCIETE D'EXPLOITATION DES PARCS A BOIS DU CAMEROUN SEPBC","SEPBC","FORESTIER","Cameroun","",""
"156","SPEED APPRO","SPEED APRO","Miscellaneous","Cameroun","",""
"157","AGROCHEM","AGROCHEM","Miscellaneous","Cameroun","",""
"158","FIRST TRUST SA","FIRST","Other Financial services","Cameroun","",""
"159","LONG METAL SARL","LONG METAL","Miscellaneous","Cameroun","",""
"160","AZUR","AZUR","Food and Drink","Cameroun","",""
"161","IMS SARL","IMS","Miscellaneous","Cameroun","",""
"162","SOCATUR SA","SOCATUR","Miscellaneous","Cameroun","",""
"163","BATIBOIS","BATIBOIS","FORESTIER","Cameroun","",""
"164","HAVEST ASSET MANAGEMENT SA","HAVEST","Miscellaneous","Cameroun","",""
"165","MAHIMA","MAHIMA","Miscellaneous","Cameroun","",""
"166","AMS GROUP","AMS GROUP","Miscellaneous","Cameroun","",""
"167","WOOD SENSES","WOOD SENSE","Miscellaneous","Cameroun","",""
"168","SEEF SA","SEEF SA","FORESTIER","Cameroun","",""
"169","HYDRAC","HYDRAC","Miscellaneous","Cameroun","",""
"170","COMMUNAUTE HURBAINE DE YAOUNDE","PCADY","N/A","N/A","CUY",""
"171","COMMUNAUTE URBAINE DE KRIBI","CUK","Government & public sector","Cameroun","",""
"172","Port Autonome de Kribi","PAK","Government & public sector","Cameroun","",""
"173","COMPAGNIE NATIONALE DES CHARGEURS DU CAMEROUN","CNCC","Transport & leisure","Cameroun","",""
"174","CHASLES CORPORATION","CHASLES","Miscellaneous","Cameroun","",""
"175","FLORE SERVICES SARL","FLORE","Miscellaneous","Cameroun","",""
"176","AFRICA WORKS","AFRICA","Miscellaneous","Cameroun","",""
"177","CREATIVE SARL","CREATIVE","Miscellaneous","Cameroun","",""
"178","WISDOM INTERNATIONAL","WISDOM","Miscellaneous","Cameroun","",""
"179","FONDS COMMUN PSFE","PSFE","Climate change/Water","Cameroun","",""
"180","EDF CAMEROUN SA","EDF","Energy and Oil & Gas","Cameroun","",""
"181","MEDLOG CAMEROUN SA","MEDLOG","Transport & leisure","N/A","",""
"182","SOLEIL CAMEROUN","SOLEIL","Miscellaneous","Cameroun","",""
"183","SINCATEX SA","SINCATEX","Miscellaneous","Cameroun","",""
"184","EMRALD SECURITIES SERVICES BOURSE SA","EMRALD","Miscellaneous","Cameroun","",""
"185","CAMBUILD BTP","CAMBUILD","Miscellaneous","Cameroun","",""
"186","METAFRIQUE STEEL","METAFRIQUE","Miscellaneous","Cameroun","",""
"187","AGROCAM SA","AGROCAM SA","Other industry","Cameroun","Jean Daniel AYAMAPI",""
"188","BANQUE ATLANTIQUE CAMEROUN","","Bank","Cameroun","Habib Koné",""
"189","NSIA ASSURANCES CAMEROUN","NSIA","Insurance","Cameroun","Esther TIAKO",""
"190","SOCAPALM","SOCAPALM","Industrial manufacturing","Cameroun","Dominique CORNET",""
"191","FONDS NATIONAL DE L'EMPLOI","FNE","Government & public sector","Cameroun","Jean Ronald Joseph",""
"192","CENTRE INTERNATIONAL DE RECHERCHE CHANTAL BIYA","CIRCB","Government & public sector","Cameroun","Alexis NDJOLO",""
"193","AGENCE NATIONALE D'APPUI AU DEVELOPPEMENT FORESTTIER","ANAFOR","Government & public sector","Cameroun","Jean Baptiste Baskouda",""
"194","NACHTIGAL HYDRO POWER COMPANY","NHPC","Energy and Oil & Gas","Cameroun","Vincent Leroux",""
"195","SANLAM LIFE","SANLAM LIF","Insurance","Cameroun","Vincent Ongono",""
"196","CAISSE AUTONOME D'AMORTISSEMENT","CAA","Government & public sector","Cameroun","Richard EVINA OBAM",""
"197","LONGSTAR EQUIPMENT CAMEROUN","LONGSTAR","Miscellaneous","Cameroun","Long Hai",""
"198","EB-Partners Law Tax & Global Legal Services","EB-TAX","Miscellaneous","Cameroun","Emile BITOUNGUI",""
"199","PTT TELECOM SA","YOUMEE","Technology, media & telecommunications","Cameroun","Jean Marie OLICARD",""
"200","commune d'arrondissement de douala 1er","CAD","Government & public sector","Cameroun","",""
"201","Commune de douala 3eme","CAD","Government & public sector","Cameroun","",""
"202","Commune de douala 4eme","CAD","Government & public sector","Cameroun","",""
"203","Commune de douala 5eme","CAD","Government & public sector","N/A","",""
"204","Communauté urbaine de douala","CUD","Government & public sector","N/A","",""
"205","WEBB FONTAINE CAMEROUN S.A","WF CAM","Miscellaneous","Cameroun","Moïse YAKAN A BESSIOM",""
"206","AFRICA BRIGHT SECURITIES SA","ABS S.A","Other Financial services","Cameroun","",""
"207","ELECNOR CAMEROUN S.A","ELECNOR","Other industry","Cameroun","",""
"208","MOUSSE ET DRIVES DU CAMEROUN","MDC Sarl","Miscellaneous","Cameroun","Paul RODRIGUE TSAFACK",""
"209","Le Plastique Camerounais","PLASTICAM","Industrial manufacturing","Cameroun","FOYOU Epse FANKAM YAMAKO Marielle",""
"210","Agriculture du Cameroun","AGROCAM","FORESTIER","Cameroun","Jean Daniel AYAMAPI",""
"211","SOCIETE METCH-ELEC SARL","METCH ELEC","Energy and Oil & Gas","Cameroun","Gilbert METCHEKA",""
"212","SOCIETE CAMEROUNAISE DE VERRERIE","SOCAVER","Industrial manufacturing","Cameroun","Selon Emmanuel De Tailly",""
"213","COLGATE PALMOLIVE CAMEROUN SA","COLGATE","Miscellaneous","Cameroun","Richard FOWANG",""
"214","Sté Camerounaise de Cartonnages et de Fournitures de matériel scolaire & Bureau","SOCARTO","Industrial manufacturing","Cameroun","Samuel KONDO NJANGA NGANDE",""
"215","Société de Transformation de Blé Au Cameroun","SITRABCAM","Food and Drink","Cameroun","",""
"216","LES LABORATOIRES BIOPHARMA SA","BIOPHARMA","Miscellaneous","Cameroun","Francis NANA DJOMOU",""
"217","COTONNIERE INDUSTRIELLE DU CAMEROUN","CICAM","Industrial manufacturing","Cameroun","Edouard Abada EBAH",""
"218","SOCIETE CAMEROUNAISE DE FABRICATION DES LUBRIFIANTS","SCEFL SA","Industrial manufacturing","Cameroun","Cyrine DRAIF",""
"219","SOCIETE DES PRODUITS NOUVEAUX","SPN","Miscellaneous","Cameroun","OBALLA",""
"220","SOCIETE DES TRANSFORMATIONS INDUSTRIELLES DU CAMEROUN","SOTICAM","Industrial manufacturing","Cameroun","Mohamed Saad",""
"221","SOYBEANS PROCESSING INDUSTRY OF CAMEROON","SAPRIOCAM","Food and Drink","Cameroun","Raymond DIFFO",""
"222","CFAO TECHNOLOGIES","CFAO","Technology, media & telecommunications","Cameroun","Stephane BORDURE-LINDER",""
"223","SIMI CAMAROES SARL","AMAL SIMI","Energy and Oil & Gas","Cameroun","Arnaud WATAT",""
"224","CAISSE NATIONALE DE PREVOYANCE SOCIALE","CNPS","Government & public sector","Cameroun","Mekulu MVONDO",""
"225","CAMEROON TELECOMMUNICATIONS","CAMTEL","Technology, media & telecommunications","Cameroun","Judith YAH SUNDAY",""
"226","SOCIETE NATIONAL DES HYDROCARBURES","SNH","Energy and Oil & Gas","Cameroun","Adolphe MOUDIKI",""
"227","COMPAGNIE CAMEROUNAISE DE L’ALUMINIUM","ALUCAM","Industrial manufacturing","Cameroun","Alain MALONG",""
"228","FONDS SPÉCIAL D’EQUIPEMENT ET D’INTERVENTION INTER COMMUNAL","FEICOM","Government & public sector","Cameroun","Philippe CAMILLE AKOA",""
"229","SOCIETE DE DEVELOPPEMENT DU COTON DU CAMEROUN","SODECOTON","Government & public sector","Cameroun","MOHAMADOU BAYERO",""
"230","SOCIETE NATIONALE DE RAFFINAGE","SONARA","Energy and Oil & Gas","Cameroun","Jean Paul SIMO NJONOU",""
"231","CAISSE DE STABILISATION DES PRIX D’HYDROCARBURES","CSPH","Government & public sector","Cameroun","OKIE JOHSON NDOH",""
"232","CAMEROON DEVELOPMENT CORPORATION","CDC","Government & public sector","Cameroun","Francklin NJIE NGONI",""
"233","AGENCE DE REGULATION DES TELECOMMUNICATIONS","ART","Technology, media & telecommunications","Cameroun","Philemon ZO’O ZAME",""
"234","CAMEROON RADIO AND TELEVISION","CRTV","Technology, media & telecommunications","Cameroun","Charles NDONGO",""
"235","CREDIT FONCIER DU CAMEROUN","CFC","Government & public sector","Cameroun","Jean Paul MISSI",""
"236","CENTRALE NATIONALE D’APPROVISIONNEMENT EN MEDICAMENTS ET CONSOMMABLES  MEDICAUX ESSENTIELS","CENAME","Government & public sector","Cameroun","SALIHOU SADOU",""
"237","AEROPORTS DU CAMEROUN","ADC","Transport & leisure","Cameroun","Thomas OWONA ASSOUMOU",""
"238","CAMEROON AIRLINE CORPORATION","CAMAIRCO","Transport & leisure","Cameroun","Louis Georges NJIPENDI KOUOTOU",""
"239","CAMEROON CIVIL AVIATION AUTHORITY","CCAA","Transport & leisure","Cameroun","Paule AVOMO ASSOUMOU",""
"240","FONDS NATIONAL DE L’EMPLOI","FNE","Government & public sector","Cameroun","Camille MOUTE A BIDIAS",""
"241","PORT AUTONOME DE DOUALA","PAD","Government & public sector","Cameroun","Cyrus NGO'O",""
"242","PORT AUTONOME DE KRIBI","PAK","Government & public sector","Cameroun","Patrice Barthélemy MELOM",""
"243","SOCIETE CAMEROUNAISE DES DEPÔTS PETROLIERS","SCDP","Energy and Oil & Gas","Cameroun","Véronique MOAMPEA MBIO",""
"244","COTONNIERE INDUSTRIELLE DU CAMEROUN","CICAM","Industrial manufacturing","Cameroun","Edouard ABADA EBAH",""
"245","FONDS DE DEVELOPPEMENT DES FILIERES CACAO ET CAFE","FODECC","Government & public sector","Cameroun","Samuel Donatien NENGUE",""
"246","AGENCE DE REGULATION DES MARCHES PUBLICS","ARMP","Government & public sector","Cameroun","Ayélé DATTI",""
"247","ELECTRICITY DEVELOPMENT CORPORATE","EDC","Energy and Oil & Gas","Cameroun","Théodore NSANGOU",""
"248","EBOT EBOT ENAWAGENCE NATIONALE DES TECHNOLOGIES DE I’INFORMATION ET DE LA COMMUNICATION","ANTIC","Technology, media & telecommunications","Cameroun","EBOT EBOT ENAW",""
"249","CENTRE INTERNATIONAL DE REFRENCE CHANTAL BIYA","CIRCB","Private Equity","Cameroun","Alexis NDJOLO",""
"250","CONSEIL NATIONAL DES CHARGEURS DU CAMEROUN","CNCC","Government & public sector","Cameroun","Auguste MBAPPE PENDA",""
"251","CHANTIER NAVAL ET INDUSTRIEL DU CAMEROUN","CNIC","Other industry","Cameroun","Roland Maxime AKA'A NDI'I",""
"252","CENTRE PASTEUR DU CAMEROUN","CPC","Government & public sector","Cameroun","Mirdad KAZANJI",""
"253","GENERAL CERTIFICATE OF EDUCATION","GCE","Government & public sector","Cameroun","DANG AKUH Dominic",""
"254","HOPITAL GENERAL DE DOUALA","HGD","Government & public sector","Cameroun","Henry NAMME LUMA",""
"255","HOPITAL GENERAL DE YAOUNDE","HGY","Government & public sector","Cameroun","Vincent de Paul NDJIENTCHEU",""
"256","INSTITUT NATIONAL DE LA STATISTQUE","INS","Government & public sector","Cameroun","Joseph TEDOU",""
"257","OFFICE DU BACCALAUREAT DU CAMEROUN","OBC","Government & public sector","Cameroun","Etienne Roger MINKOULOU",""
"258","PAMOL PLANTATIONS Plc","PPPLc","Miscellaneous","Cameroun","Charles MEKANYA OKON",""
"259","SOCIETE DE DEVELOPPEMENT DU CACAO","SODECAO","Other industry","Cameroun","Jean Claude EKO’O AKOUAFANE",""
"260","SOCIETE DE PRESSE ET D’EDITIONS DU CAMEROUN","SOPECAM","Miscellaneous","Cameroun","Marie Claire NNANA",""
"261","BUREAU CENTRAL DES RECENSEMENTS DE LA POPULATION","BUCREP","Government & public sector","Cameroun","Bernadette MBARGA.",""
"262","COMITE DE GESTION FAO/PAM","FAOPAM","Miscellaneous","Cameroun","MATAPIT Othon",""
"263","MISSION D’AMENAGEMENT DES TERRAINS URBAINS ET RURAUX","MAETUR","Government & public sector","Cameroun","Louis Roger MANGA",""
"264","SOCIETE DE DEVELOPPEMENT ET D’EXPLOITATION DES PRODUCTIONS ANIMALES","SODEPA","Miscellaneous","Cameroun","Denis KOULAGNA KOUTOU",""
"265","SOCIETE NATIONALE DE TRANSPORT D’ELECTRICITE","SONATREL","Energy and Oil & Gas","Cameroun","Victor MBEMI NYANKGA",""
"266","SOCIETE DE RECOUVREMENT DES CREANCES DU CAMEROUN","SRC","Government & public sector","Cameroun","Marie Rose MESSI",""
"267","AGENCE D’ELECTRIFICATION RURALE","AER","ENR - Power & Utilities","Cameroun","Moussa OUSMANOU",""
"268","AGENCE D’ELECTRIFICATION RURALE","AER","ENR - Power & Utilities","Cameroun","Moussa OUSMANOU",""
"269","SOCIETE ALUMINIUM DE BASSA","ALUBASSA","Other industry","Cameroun","Alain MALONG",""
"270","AGENCE NATIONALE D’APPUI AU DEVELOPPEMENT FORESTIER","ANAFOR","FORESTIER","Cameroun","Théophile BEKOLO BEKOLO",""
"271","AGENCE DES NORMES ET DE LA QUALITE","ANOR","Miscellaneous","Cameroun","Charles BOOTO à NGON",""
"272","AGENCE NATIONALE DE RADIOPROTECTION","ANR","Government & public sector","Cameroun","Augustin SIMO",""
"273","AGENCE DE PROMOTION DES INVESTEMENTS","API","Government & public sector","Cameroun","Marthe Angeline MINJA",""
