ACTION,CLIENT_NAME,IN_DB?,ADMIN,SECTOR,COUNTRY
CREATE,SEEF SA,NO,,FORESTIER,Cameroun
CREATE,COMPAGNIE NATIONALE DES CHARGEURS DU CAMEROUN,NO,,Transport & leisure,Cameroun
CREATE,EDF CAMEROUN SA,NO,,Energy and Oil & Gas,Cameroun
CREATE,EMRALD SECURITIES SERVICES BOURSE SA,NO,,Miscellaneous,Cameroun
CREATE,NACHTIGAL HYDRO POWER COMPANY,NO,Vincent Leroux,Energy and Oil & Gas,Cameroun
CREATE,LONGSTAR EQUIPMENT CAMEROUN,NO,Long Hai,Miscellaneous,Cameroun
CREATE,EB-Partners Law Tax & Global Legal Services,NO,Emile BITOUNGUI,Miscellaneous,Cameroun
CREATE,WEBB FONTAINE CAMEROUN S.A,NO,Moïse YAKAN A BESSIOM,Miscellaneous,Cameroun
CREATE,AFRICA BRIGHT SECURITIES SA,NO,,Other Financial services,Cameroun
CREATE,ELECNOR CAMEROUN S.A,NO,,Other industry,Cameroun
CREATE,SOCIETE CAMEROUNAISE DE VERRERIE,NO,Selon Emmanuel De Tailly,Industrial manufacturing,Cameroun
CREATE,PORT AUTONOME DE DOUALA,NO,Cyrus NGO'O,Government & public sector,Cameroun
CREATE,GEODIS PROJECTS CAMEROON,NO,,Transport & leisure,Cameroun
CREATE,CFAO,NO,,Consumer markets,Cameroun
CREATE,CAMEROUNAISE DE CONSTRUCTION DU BARRAGE DE NACHTIGAL S.A.S,NO,,Miscellaneous,Cameroun
CREATE,TOTALENERGIES MARKETING CAMEROUN S.A,NO,,Energy and Oil & Gas,Cameroun
CREATE,SYSTEMES ET APPLICATIONS ELECTRONIQUES S.A,NO,,Miscellaneous,Cameroun
CREATE,SOACAM AGRO INDUSTRIES S.A,NO,,Industrial manufacturing,Cameroun
CREATE,RW KING S.A,NO,,Miscellaneous,Cameroun
CREATE,ATTIJARI SECURITIES CENTRAL AFRICA,NO,,Bank,Cameroun
CREATE,DHL GLOBAL FORWARDING CAMEROUN PLC,NO,,Miscellaneous,Cameroun
CREATE,HYDIAM FORAGES,NO,,Miscellaneous,Cameroun
CREATE,IBI S.A,NO,,Miscellaneous,Cameroun
CREATE,GREENFIL PLANTATION LTD S.A,NO,,Miscellaneous,Cameroun
CREATE,MAÎTRE ESSONO EPOUSE CHEMOU BLANCHE,NO,,Miscellaneous,Cameroun
CREATE,ICM CONSULTING SARL,NO,,Miscellaneous,Cameroun
CREATE,DIRECTION GENERALE DES DOUANES ET DES DROITS INDIRECTS DU TCHAD,NO,,Government & public sector,Tchad
CREATE,SCI VESTALIA,NO,JEAN ROGER DAVID,Miscellaneous,Cameroun
CREATE,KRIBI POWER DEVELOPMENT COMPANY,NO,,ENR - Power & Utilities,Cameroun
CREATE,SOA - Soulemanou Haliyou,NO,Soulemanou Haliyou,Other Financial services,Cameroun
CREATE,HEVEA CAMEROUN S.A,NO,,Industrial manufacturing,Cameroun
CREATE,SOCIETE COMMERCIALE DE BANQUE CAMEROUN S.A,NO,,Bank,Cameroun
CREATE,ELECNOR SUCCURSALE,NO,,N/A,N/A
CREATE,BOURBON OFFSHORE MARINE SERVICES CAMEROUN,NO,Roman DUBOVITSKII,Energy and Oil & Gas,Cameroun
CREATE,HORUS INVESTMENT CAPITAL S.A,NO,Cyrille ONANA,Other Financial services,Cameroun
CREATE,TELCAR COCOA LIMITED,NO,KANYI-TOMETI FOTSO,Other industry,Cameroun
CREATE,LOXEA S.A,NO,Geoffroy DE MARCELLUS,Miscellaneous,Cameroun
CREATE,ATLANTIQUE ASSURANCE IARDT-CAMEROUN,NO,NGNIWAKE NORBERT,Insurance,Cameroun
SKIP (EXISTS),AXA ASSURANCES,YES,,Insurance,Cameroun
CREATE,DIBAMBA POWER DEVELOPMENT COMPANY SA,NO,Frédéric Didier MVONDO,Energy and Oil & Gas,Cameroun
CREATE,OFFICE TOGOLAIS DES RECETTES,NO,,Miscellaneous,N/A
CREATE,CFAO TECHNOLOGIES S.A,NO,,Miscellaneous,Cameroun
CREATE,TAM-TAM SOLEIL,NO,Jean Roger DAVID,Other industry,Cameroun
CREATE,EB-PARTNERS AUDIT,NO,Samira VINDJEDOU,Miscellaneous,N/A
CREATE,Mutuelles des inspecteur et officiers des Douanes du Cameroun,NO,,Miscellaneous,Cameroun
CREATE,CFAO MOBILITY CAMEROON,NO,Denis ZAPPULLA,Other industry,Cameroun
CREATE,KING BAY CENTER S.A,NO,,Miscellaneous,Gabon
CREATE,DJILO NGASSOP IRENE,NO,DJILO NGASSOP IRENE,Government & public sector,Cameroun
CREATE,SHOW OFF SARL,NO,TOKA Gislaine,Other industry,Cameroun
CREATE,CIA CAPITAL INVEST,NO,KACOU NEUBA Isidore,Other Financial services,Cote d'Ivoire
CREATE,AMT CAMEROUN S.A,NO,Marcel BUERGI,Miscellaneous,Cameroun
CREATE,DJOUFACK NGOUNE SUZANNE,NO,DJOUFACK NGOUNE Suzanne,Transport & leisure,Cameroun
CREATE,DJOUFACK NGOUNE SUZANNE,NO,DJOUFACK NGOUNE Suzanne,Transport & leisure,Cameroun
CREATE,JOCCIDALO PETROLEUM,NO,Olivier SABOCK,Energy and Oil & Gas,Cameroun
CREATE,TCHARITRANS,NO,Mahamat MOUSSA HASSANE,Miscellaneous,Cameroun
CREATE,KRIEGER BREWERY COMPANY PLC,NO,Dynamic BEYONGO MUKETE,Industrial manufacturing,Cameroun
CREATE,SOCIETE DES EAUX MINERALES DU CAMEROUN,NO,,Climate change/Water,Cameroun
CREATE,GRACEDOM INVEST S.A,NO,Jacqueline DONGMO,Consumer markets,Cameroun
CREATE,EXCELLENCE EQUIPMENT & MOTORS NGAOUNDERE SARL,NO,HASSAN Hariri,Energy and Oil & Gas,Cameroun
CREATE,SOCIETE MINIERE DE L'EST,NO,YOSSA NOUBEYO,Energy and Oil & Gas,Cameroun
CREATE,KIKOT-MBEBE HYDRO POWER COMPANY,NO,Marlène BIESSY,Energy and Oil & Gas,Cameroun
CREATE,SHOW OFF ASSURANCE,NO,,Insurance,Cameroun
CREATE,CFAO MOBILITY CAMEROON,NO,,Miscellaneous,Cameroun
CREATE,TOTALENERGIES MARKETING CAMEROUN S.A,NO,,Energy and Oil & Gas,Cameroun
CREATE,ADIALEA CAMEROUN S.A,NO,,Miscellaneous,Cameroun
CREATE,AFRICA FINANCES,NO,FACHEU BELMOND,Bank,Cameroun
CREATE,TSG CAMEROUN S.A,NO,François BAFALAK,Energy and Oil & Gas,Cameroun
CREATE,DAFMA & FORTRANS,NO,Stéphane FOSSO,Miscellaneous,Cameroun
CREATE,MEN GROUP,NO,Wilfried EBANDA,Transport & leisure,Cameroun
CREATE,CALLENS CAMEROUN S.A,NO,,Other industry,Cameroun
CREATE,J2N CONSEIL SARL,NO,NOUTCHIE NJIKI Jackson,Other Financial services,Cameroun
CREATE,KAKOTEL S.A,NO,,"Technology, media & telecommunications",Cameroun
CREATE,CHINA HARBOUR ENGINEERING COMPANY LTD,NO,Emmanuelle LIU,Miscellaneous,Cameroun
CREATE,Office Régional Agricole et des Produits de Rente du Sud,NO,DOUA Raymond,Government & public sector,Cameroun
CREATE,Office Régional Agricole et des Produits de Rente du Sud,NO,YOUMBI TETU JEAN DANIEL,Consumer markets,Cameroun
CREATE,GROUPE KEDE SARL,NO,Madame NKOMBOU epse YOBA Ingrd Sophie Sandrne,ENR - Power & Utilities,Cameroun
CREATE,DAVINCI INVESTMENT GROUP SARL,NO,FOTSING Firmin Bouler,Bank,Cameroun
CREATE,AZA Finance,NO,,Bank,Sénégal
CREATE,SAMSON BILANGNA,NO,SAMSON BILANGNA,Other industry,Cameroun
CREATE,CAMEROON INTERNATIONALE TRADE SARL,NO,ABDOUL Karim GNAGUELE,Consumer markets,Cameroun
CREATE,BEST WIN S.A,NO,,Other Financial services,Cameroun
CREATE,CAMEROON INTERNATIONALE TRADE SARL 2,NO,ABDOUL Karim GNAGUELE,Consumer markets,Cameroun
CREATE,ARCHIBAT PLUS DESIGN,NO,Monsieur NJIOSSI Jean-Roger,Hôtellerie,Cameroun
CREATE,NOTICAM SA,NO,Monsieur Jules MANDJIA MOUICHE,Energy and Oil & Gas,Cameroun
CREATE,Advance Maritime Transport,NO,Marcel BUERGI,Transport & leisure,Cameroun
CREATE,MOTOA TRANSPORT TRANSIT ET  SERVICES (MTTS),NO,MDIBA SAID,Miscellaneous,Cameroun
CREATE,EVERWELL  CAMEROON CABLES AND ENGINEERING S.A,NO,DANIEL ZHANG LONGFANG,Industrial manufacturing,Cameroun
CREATE,CAMFISH,NO,EKENE BODO Cyrille,Climate change/Water,Cameroun
CREATE,SOCIETE INTERAFRICAINE DES PRODUITS PHARMACEUTIQUES ET PARAPHARMACEUTIQUES,NO,Dr Yolande DJOMO Epse MANE,Miscellaneous,Cameroun
CREATE,EVERWELL CAMEROUN CABLES and ENGINEERING SA,NO,Séraphin,ENR - Power & Utilities,Cameroun
CREATE,NGOLLE 4 ISSAC RICHARD,NO,,Government & public sector,Cameroun
CREATE,SIGMA INC LTD,NO,,Other industry,Cameroun
CREATE,AMT CAMEROUN S.A,NO,Marcel BUERGI,Energy and Oil & Gas,Cameroun
CREATE,SITRAB-CAM,NO,,Other industry,Cameroun
CREATE,COMPAGNY OF TRANSPORT AND FAIR TRADE,NO,,Transport & leisure,Cameroun
CREATE,BRIGHT POINT LOGISTICS SARL,NO,,Transport & leisure,Cameroun
CREATE,OCEAN PETROLEUM SARL,NO,,Energy and Oil & Gas,Cameroun
CREATE,ENGINE OIL COMPANY SA,NO,,Energy and Oil & Gas,Cameroun
CREATE,AFRICA VISION DEVELOPMENT SARL,NO,,Miscellaneous,Cameroun
CREATE,ARTS ET METIERS SARL,NO,,Miscellaneous,Cameroun
CREATE,Etude Me Grâce NKAKE BOLLANGA,NO,Grâce NKAKE BOLLANGA,Miscellaneous,Cameroun
CREATE,MERMO OIL,NO,,Energy and Oil & Gas,Cameroun
CREATE,CAMLAIT,NO,,Consumer markets,Cameroun
CREATE,SAE,NO,,Miscellaneous,Cameroun
CREATE,MERMO OIL,NO,,Energy and Oil & Gas,Cameroun
CREATE,Societé d'Expliotation Industrielle Agricole,NO,NYANGON BITA Olga,Other industry,Cameroun
CREATE,MEN LOGISTICS SA,NO,,Industrial manufacturing,Cameroun
CREATE,MONSIEUR BAHA Robert,NO,MONSIEUR BAHA Robert,Miscellaneous,Cameroun
CREATE,IMPLANTS & SERVICES SARL,NO,Mr. Jean BAHEBECK,Miscellaneous,Cameroun
CREATE,NORBERT GWEM,NO,,"Infrastructure,  Healthcare",Cameroun
CREATE,JL2M MULTISERVICES SARL,NO,TETA Emmanuel,Consumer markets,Cameroun
CREATE,AGROLOGISTIK SARL,NO,NGUEN III Georges Ronald,Food and Drink,Cameroun
CREATE,SPEEDY WORLD WIDE SERVICES,NO,,Miscellaneous,Cameroun
CREATE,SOLIDARITÉS INTERNATIONAL,NO,,Project & NGO,Cameroun
CREATE,ZTE INTERNATIONAL LIMITED,NO,,Miscellaneous,Cameroun
